ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	20	1	16:44:33	6	2	341	15	15	71
5_1	20	1	16:44:33	6	6	1361	7	7	72
5_1	27	1	14:40:04	1	1	14652	8	6	1
5_1	27	1	14:40:04	2	1	975	12	11	2
5_1	27	1	14:40:04	1	1	979	4	11	3
5_1	27	1	14:40:04	3	1	726	12	15	4
5_1	27	1	14:40:04	6	1	1321	8	8	5
5_1	27	1	14:40:04	6	1	3366	18	18	6
5_1	27	1	14:40:04	2	1	121	13	2	7
5_1	27	1	14:40:04	1	1	368	10	9	8
5_1	27	1	14:40:04	3	2	645	17	6	9
5_1	27	1	14:40:04	6	1	2934	15	15	10
5_1	27	1	14:40:04	2	0	1254	15	17	11
5_1	27	1	14:40:04	3	0	2592	2	18	12
5_1	27	1	14:40:04	0	0	694	13	7	13
5_1	27	1	14:40:04	0	2	770	18	8	14
5_1	27	1	14:40:04	1	0	215	9	15	15
5_1	27	1	14:40:04	6	3	707	4	4	16
5_1	27	1	14:40:04	1	2	1111	2	16	17
5_1	27	1	14:40:04	6	2	886	2	2	18
5_1	27	1	14:40:04	2	1	229	17	9	19
5_1	27	1	14:40:04	6	3	566	5	5	20
5_1	27	1	14:40:04	1	2	148	5	17	21
5_1	27	1	14:40:04	4	0	263	16	1	22
5_1	27	1	14:40:04	0	0	1601	1	3	23
5_1	27	1	14:40:04	4	2	521	14	5	24
5_1	27	1	14:40:04	2	4	303	16	13	25
5_1	27	1	14:40:04	6	0	64	12	12	26
5_1	27	1	14:40:04	4	1	1513	11	7	27
5_1	27	1	14:40:04	4	1	214	4	12	28
5_1	27	1	14:40:04	0	0	482	13	7	29
5_1	27	1	14:40:04	1	0	753	2	14	30
5_1	27	1	14:40:04	3	0	192	7	5	31
5_1	27	1	14:40:04	6	2	336	14	14	32
5_1	27	1	14:40:04	3	3	439	8	10	33
5_1	27	1	14:40:04	6	4	2150	13	13	34
5_1	27	1	14:40:04	0	3	1397	12	2	35
5_1	27	1	14:40:04	3	2	211	6	9	36
